Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
LGL,LYNCH GROUP HOLDINGS LIMITED,2.35,0.42735043,0.01,Neutral,31,72.85,286855344,14.58852868,0.1604,,Distribution Services
BCI,BCI MINERALS LIMITED,0.235,0,0,Strong Sell,207152,48680.72,284110495,,-0.0171,,Non-Energy Minerals
PNR,PANTORO LIMITED,0.18,0,0,Sell,2195177,395131.86,283710531,62.06896552,0.003,,Non-Energy Minerals
BST,BEST & LESS GROUP HOLDINGS LTD,2.34,4.46428571,0.1,Sell,976771,2285644.14,280821920,7.74015204,0.2919,,Retail Trade
ABA,AUSWIDE BANK LTD,6.44,0.155521,0.01,Sell,28451,183224.44,279532778,10.63161376,0.6048,,Finance
PLY,PLAYSIDE STUDIOS LIMITED,0.68,-1.44927536,-0.01,Sell,104485,71049.8,279373920,57.98319328,0.0119,,Technology Services
HIO,HAWSONS IRON LTD,0.38,1.33333333,0.005,Buy,4497369,1709000.22,277894844,,-0.008,,Non-Energy Minerals
SRL,SUNRISE ENERGY METALS LIMITED,2.93,-2.98013245,-0.09,Buy,86299,252856.07,271974809,3355.55555556,0.0009,,Industrial Services
MYD,MYDEAL.COM.AU LIMITED,1.045,-0.47619048,-0.005,Buy,98629,103067.305,271768654,,-0.0599,,Retail Trade
ELO,ELMO SOFTWARE LIMITED,2.9,-3.65448505,-0.11,Strong Sell,45629,132324.1,271590357,,-0.8784,500,Technology Services
CVN,CARNARVON ENERGY LIMITED,0.175,16.66666667,0.025,Sell,11086074,1940062.95,270028044,,-0.0335,,Energy Minerals
ARX,AROA BIOSURGERY LIMITED,0.77,-0.64516129,-0.005,Strong Sell,16726,12879.02,265611257.00000003,,-0.024,,Health Technology
LYL,LYCOPODIUM LIMITED,6.61,-0.45180723,-0.03,Buy,7661,50639.21,263875099.99999997,9.72039233,0.6881,,Industrial Services
CTT,CETTIRE LIMITED,0.73,5.79710145,0.04,Sell,1193640,871357.2,263054371,,-0.05,,Retail Trade
GDG,GENERATION DEVELOPMENT GROUP LIMITED,1.39,0,0,Neutral,11209,15580.51,262233500,133.65384615,0.0106,,Finance
CGS,COGSTATE LTD,1.405,-6.95364238,-0.105,Strong Sell,293171,411905.255,261786180,25.25083612,0.0598,,Commercial Services
KSL,KINA SECURITIES LIMITED,0.92,0.87719298,0.008,Buy,586110,539221.2,261685553.00000003,8.78612717,0.1049,689,Finance
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,1.005,0.5,0.005,Sell,821786,825894.93,260847808.99999997,,-0.583,,Consumer Services
HUM,HUMM GROUP LIMITED,0.52,-0.95238095,-0.005,Sell,308059,160190.68,259985794,,-0.352,,Finance
MLX,METALS X LIMITED,0.265,-7.01754386,-0.02,Strong Sell,2800323,742085.595,258570822.00000003,2.19399538,0.1299,,Non-Energy Minerals
PGC,PARAGON CARE LIMITED,0.405,2.53164557,0.01,Strong Buy,423048,171334.44,256186100,22.96511628,0.0176,,Distribution Services
COB,COBALT BLUE HOLDINGS LIMITED,0.77,-0.64516129,-0.005,Sell,498456,383811.12,255889770,,,,Non-Energy Minerals
MRM,MMA OFFSHORE LIMITED,0.7,1.44927536,0.01,Buy,1111764,778234.8,252857520,7.74410774,0.0929,1100,Transportation
CAI,CALIDUS RESOURCES LIMITED,0.56,-1.75438596,-0.01,Strong Sell,578771,324111.76,249535570,,-0.0159,,Technology Services
TIG,TIGERS REALM COAL LIMITED,0.017,-10.52631579,-0.002,Strong Sell,358464,6093.888,248267333,7.91666667,0.0024,,Energy Minerals
SFC,SCHAFFER CORPORATION LIMITED,18,2.27272727,0.4,Buy,501,9018,245178486,9.24030031,1.9105,,Consumer Non-Durables
SPL,STARPHARMA HOLDINGS LIMITED,0.63,5,0.03,Sell,646930,407565.9,245066062,,-0.0397,50,Health Technology
CVC,CVC LIMITED,2.1,2.94117647,0.06,Sell,257,539.7,238321153,39.92322457,0.0523,,Finance
IMM,IMMUTEP LIMITED,0.28,1.81818182,0.005,Sell,1404797,393343.16,238215952,,-0.0379,,Health Technology
CAU,CRONOS AUSTRALIA LIMITED,0.46,6.97674419,0.03,Buy,412541,189768.86,237575844,34.67741935,0.0133,,Health Technology
HZN,HORIZON OIL LIMITED,0.15,0,0,Buy,1152050,172807.5,236841458,7.2815534,0.0213,,Energy Minerals
RHI,RED HILL IRON LIMITED,3.7,0,0,Buy,19554,72349.8,236164150,1.58784654,2.3302,,Non-Energy Minerals
MAY,MELBANA ENERGY LIMITED,0.073,-3.94736842,-0.003,Strong Sell,5756643,420234.939,235810328,23.75,0.0032,,Energy Minerals
FID,FIDUCIAN GROUP LIMITED,7.75,3.47129506,0.26,Buy,40,310,235767389,17.74040739,0.4233,,Finance
KSC,K & S CORPORATION LIMITED,1.8,2.85714286,0.05,Strong Buy,3537,6366.6,234627159,13.31811263,0.1314,1943,Transportation
PSQ,PACIFIC SMILES GROUP LIMITED,1.46,0.68965517,0.01,Sell,15050,21973,231393820,,-0.0284,,Health Services
KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,5.14,0.19493177,0.01,Buy,8594,44173.16,230850005,41.50485437,0.1236,,Commercial Services
HLA,HEALTHIA LIMITED,1.75,-1.68539326,-0.03,Neutral,32377,56659.75,228403417,,-0.0282,,Health Services
MAU,MAGNETIC RESOURCES NL,1.02,2,0.02,Neutral,26023,26543.46,225310440,,-0.0368,,Non-Energy Minerals
CAT,CATAPULT GROUP INTERNATIONAL LTD,0.965,-2.52525253,-0.025,Strong Sell,96531,93152.415,225307119,,-0.1994,500,Electronic Technology
AGE,ALLIGATOR ENERGY LIMITED,0.062,-7.46268657,-0.005,Buy,30077543,1864807.666,221281802,,-0.0007,,Non-Energy Minerals
ENN,ELANOR INVESTORS GROUP,1.87,1.08108108,0.02,Buy,3284,6141.08,220978164,268.11594203,0.0082,,Consumer Services
EVS,ENVIROSUITE LIMITED,0.17,-2.85714286,-0.005,Sell,521559,88665.03,220350182,,-0.0105,,Industrial Services
GAL,GALILEO MINING LTD,1.085,-2.69058296,-0.03,Neutral,833258,904084.93,220110216,,-0.0071,,Non-Energy Minerals
SVL,SILVER MINES LIMITED,0.165,-2.94117647,-0.005,Strong Sell,2064528,340647.12,219611468,,0.0004,,Non-Energy Minerals
QPM,QUEENSLAND PACIFIC METALS LIMITED,0.14,0,0,Strong Sell,967278,135418.92,218905843,,-0.0229,,Non-Energy Minerals
LIN,LINDIAN RESOURCES LIMITED,0.265,3.92156863,0.01,Buy,327703,86841.295,216328477,,-0.0014,,Non-Energy Minerals
REP,RAM ESSENTIAL SERVICES PROPERTY FUND,0.83,0,0,Sell,88168,73179.44,216250000,5.08266993,0.1633,,Finance
RWL,RUBICON WATER LIMITED,1.25,4.16666667,0.05,Buy,30000,37500,214856396,,-0.0023,,Producer Manufacturing
LRS,LATIN RESOURCES LIMITED,0.11,0,0,Buy,11655323,1282085.53,214555267,,-0.0031,,Process Industries
LRK,LARK DISTILLING CO. LTD,2.74,-2.83687943,-0.08,Strong Sell,25357,69478.18,212363969,,-0.0066,,Consumer Non-Durables
SHJ,SHINE JUSTICE LTD,1.22,-0.40816327,-0.005,Buy,33479,40844.38,212245722,6.91309255,0.1826,994,Consumer Services
LPI,LITHIUM POWER INTERNATIONAL LIMITED,0.575,-4.95867769,-0.03,Sell,2031388,1168048.1,211232633,,-0.0441,,Non-Energy Minerals
NXL,NUIX LIMITED,0.655,-1.5037594,-0.01,Strong Sell,750981,491892.555,211014341,,-0.0718,,Technology Services
NTU,NORTHERN MINERALS LIMITED,0.043,0,0,Buy,708013,30444.559,209001150,,-0.005,,Non-Energy Minerals
VML,VITAL METALS LIMITED,0.04,0,0,Sell,6539441,261577.64,208950816,,-0.001,,Non-Energy Minerals
KED,KEYPATH EDUCATION INTERNATIONAL INC.,0.975,-1.51515152,-0.015,Sell,1508,1470.3,206141000,,-0.1768,750,Technology Services
PYC,PYC THERAPEUTICS LIMITED,0.069,7.8125,0.005,Buy,429064,29605.416,203579275,,-0.0053,,Health Technology
RDG,RESOURCE DEVELOPMENT GROUP LIMITED,0.064,-8.57142857,-0.006,Buy,248229,15886.656,201958136,58.33333333,0.0012,125,Industrial Services
ANG,AUSTIN ENGINEERING LIMITED,0.33,-4.34782609,-0.015,Buy,282581,93251.73,200696085,12.32142857,0.0289,1049,Industrial Services
CEL,CHALLENGER EXPLORATION LIMITED,0.195,0,0,Sell,203152,39614.64,200404149,43.33333333,0.0047,,Energy Minerals
AZL,ARIZONA LITHIUM LIMITED,0.082,-1.20481928,-0.001,Strong Sell,10436216,855769.712,200023812,,-0.0056,,Non-Energy Minerals
PTB,PTB GROUP LIMITED,1.565,0.32051282,0.005,Buy,300536,470338.84,198436761,14.51162791,0.1075,,Electronic Technology
SVM,SOVEREIGN METALS LIMITED,0.41,-2.38095238,-0.01,Strong Sell,321912,131983.92,197767507,,-0.0259,,Non-Energy Minerals
RBL,REDBUBBLE LIMITED,0.745,3.47222222,0.025,Sell,1307308,973944.46,197603226,,-0.0896,,Retail Trade
BRI,BIG RIVER INDUSTRIES LIMITED,2.46,2.5,0.06,Strong Buy,470,1156.2,197346266,9.40807526,0.26,,Non-Energy Minerals
NCZ,NEW CENTURY RESOURCES LIMITED,1.45,-3.33333333,-0.05,Sell,331963,481346.35,196486061,,-0.2276,,Non-Energy Minerals
EEG,EMPIRE ENERGY GROUP LIMITED,0.265,3.92156863,0.01,Buy,1816221,481298.565,196457730,,-0.0267,,Energy Minerals
4DX,4DMEDICAL LIMITED,0.67,0.7518797,0.005,Buy,283110,189683.7,195837088,,-0.0835,,Technology Services
IVZ,INVICTUS ENERGY LTD,0.255,0,0,Neutral,6261839,1596768.945,194334447,,-0.0049,,Energy Minerals
ART,AIRTASKER LIMITED,0.43,0,0,Buy,239932,103170.76,192870252,,-0.0488,,Technology Services
TBR,TRIBUNE RESOURCES LIMITED,3.5,-4.10958904,-0.15,Strong Sell,22980,80430,191508492,6.2095951,0.5878,,Non-Energy Minerals
AXE,ARCHER MATERIALS LIMITED,0.77,0,0,Sell,361524,278373.48,191319746,,-0.0584,,Non-Energy Minerals
NXS,NEXT SCIENCE LIMITED,0.935,5.64971751,0.05,Neutral,29970,28021.95,190089277,,-0.08,,Health Technology
HPG,HIPAGES GROUP HOLDINGS LTD,1.4,-3.44827586,-0.05,Sell,20771,29079.4,189957971,,-0.007,,Technology Services
WGO,WARREGO ENERGY LIMITED,0.15,-3.22580645,-0.005,Neutral,668642,100296.3,189583960,,-0.005,,Energy Minerals
LPD,LEPIDICO LTD,0.029,0,0,Sell,4159268,120618.772,188708531,,-0.0009,,Non-Energy Minerals
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,0.725,0,0,Buy,148359,107560.275,188505051,11.78861789,0.0643,,Industrial Services
FRI,FINBAR GROUP LIMITED,0.67,-2.89855072,-0.02,Strong Sell,15000,10050,187764965,17.20698254,0.0401,29,Finance
HE8,HELIOS ENERGY LTD,0.07,-1.4084507,-0.001,Sell,644918,45144.26,184887525,,,,Energy Minerals
CKA,COKAL LIMITED,0.22,12.82051282,0.025,Strong Buy,1124072,247295.84,183095043,,-0.007,,Energy Minerals
AMA,AMA GROUP LIMITED,0.17,0,0,Buy,1190966,202464.22,182701130,,-0.1431,3500,Consumer Durables
PBP,PROBIOTEC LIMITED,2.21,-1.55902004,-0.035,Strong Sell,2584,5710.64,182571046,13.20588235,0.1702,,Health Technology
AVL,AUSTRALIAN VANADIUM LIMITED,0.044,-4.34782609,-0.002,Sell,16802301,739301.244,182342271,,-0.0014,,Producer Manufacturing
IXR,IONIC RARE EARTHS LIMITED,0.045,-4.25531915,-0.002,Strong Sell,10113746,455118.57,182012428,,-0.0011,,Non-Energy Minerals
ICT,ICOLLEGE LIMITED,0.175,6.06060606,0.01,Strong Buy,2373444,415352.7,180738353,,-0.0094,,Consumer Services
CU6,CLARITY PHARMACEUTICALS LTD,0.635,-8.63309353,-0.06,Sell,125543,79719.805,179902916,,-0.0924,,Health Technology
PEN,PENINSULA ENERGY LIMITED,0.17,-5.55555556,-0.01,Strong Sell,4180220,710637.4,179513324,,-0.0046,,Non-Energy Minerals
SLH,SILK LOGISTICS HOLDINGS LIMITED,2.15,-5.28634361,-0.12,Strong Sell,5502,11829.3,178899853,13.25934579,0.1712,,Transportation
AVJ,AVJENNINGS LIMITED,0.44,-1.12359551,-0.005,Strong Sell,5245,2307.8,178417757,13.81987578,0.0322,,Finance
RDT,RED DIRT METALS LIMITED,0.59,0.85470085,0.005,Buy,648088,382371.92,178164343,,-0.0148,,Non-Energy Minerals
ALC,ALCIDION GROUP LIMITED,0.14,0,0,Sell,394189,55186.46,177529657,,-0.0043,,Technology Services
ADN,ANDROMEDA METALS LIMITED,0.059,3.50877193,0.002,Sell,12178510,718532.09,177150350,,-0.0035,,Non-Energy Minerals
GNP,GENUSPLUS GROUP LTD,0.9,-10,-0.1,Strong Sell,70495,63445.5,176752426,11.9474313,0.0837,,Industrial Services
COI,COMET RIDGE LIMITED,0.225,9.75609756,0.02,Strong Buy,2443574,549804.15,176307055,,-0.008,,Energy Minerals
RTR,RUMBLE RESOURCES LIMITED,0.27,-3.57142857,-0.01,Strong Sell,1421373,383770.71,174267735,,-0.0044,,Non-Energy Minerals
BRL,BATHURST RESOURCES LIMITED.,0.94,3.2967033,0.03,Sell,32474,30525.56,174137411,5.65920398,0.1626,,Energy Minerals
LAU,LINDSAY AUSTRALIA LIMITED,0.58,0.86956522,0.005,Strong Buy,623408,361576.64,173642714,8.99843505,0.0639,1494,Producer Manufacturing
CLV,CLOVER CORPORATION LIMITED,1.06,1.92307692,0.02,Sell,22222,23555.32,173096882,31.51515152,0.0331,53,Health Technology
DUB,DUBBER CORPORATION LIMITED,0.54,-3.57142857,-0.02,Sell,559856,302322.24,170878819,,-0.2171,,Technology Services
TBN,TAMBORAN RESOURCES LIMITED,0.235,4.44444444,0.01,Buy,120878,28406.33,168155882,,-0.0311,,Energy Minerals
AVG,AUSTRALIAN VINTAGE LTD,0.665,0,0,Sell,34354,22845.41,168004600,9.69387755,0.0686,,Consumer Non-Durables
RAP,RESAPP HEALTH LIMITED,0.2,2.56410256,0.005,Strong Buy,20875116,4175023.2,167640925,,-0.0083,,Technology Services
NVA,NOVA MINERALS LIMITED,0.9,-2.17391304,-0.02,Buy,312077,280869.3,165786106,1.99004975,0.5014,,Non-Energy Minerals
88E,88 ENERGY LIMITED,0.008,-11.11111111,-0.001,Strong Sell,17657409,141259.272,164391848,,-0.0042,,Energy Minerals
EGR,ECOGRAF LIMITED,0.375,2.73972603,0.01,Sell,477227,178960.125,164371719,,-0.0173,4800,Non-Energy Minerals
VHT,VOLPARA HEALTH TECHNOLOGIES LIMITED,0.65,0,0,Neutral,102739,66780.35,163832436,,-0.0616,189,Technology Services
TRS,THE REJECT SHOP LIMITED,4.2,-1.17647059,-0.05,Sell,37701,158344.2,163299016,21.30325815,0.2062,3500,Retail Trade
EXP,EXPERIENCE CO LIMITED,0.205,-4.65116279,-0.01,Strong Sell,106754,21884.57,161833156,,-0.0181,,Consumer Services
A1M,AIC MINES LIMITED,0.485,-5.82524272,-0.03,Sell,229555,111334.175,160826568,3.80354505,0.1371,,Non-Energy Minerals
ARL,ARDEA RESOURCES LIMITED,0.86,-8.5106383,-0.08,Strong Sell,225128,193610.08,159553496,,-0.0173,,Non-Energy Minerals
POS,POSEIDON NICKEL LIMITED,0.051,-1.92307692,-0.001,Sell,5963109,304118.559,159325896,,-0.0039,,Non-Energy Minerals
RCT,REEF CASINO TRUST,3.19,0,0,Buy,1,3.19,158865310,10.47619048,0.3045,,Consumer Services
M7T,MACH7 TECHNOLOGIES LIMITED,0.65,-2.2556391,-0.015,Sell,148706,96658.9,158819328,,-0.0175,,Technology Services
NOL,NOBLEOAK LIFE LIMITED,1.85,-3.8961039,-0.075,Strong Sell,8741,16170.85,158610050,98.21428571,0.0196,,Finance
EL8,ELEVATE URANIUM LTD,0.52,-9.56521739,-0.055,Buy,902707,469407.64,158410040,,-0.0201,,Non-Energy Minerals
GLB,GLOBE INTERNATIONAL LIMITED,3.75,-2.5974026,-0.1,Strong Sell,4949,18558.75,157646616,8.45782074,0.4552,,Consumer Non-Durables
CCV,CASH CONVERTERS INTERNATIONAL,0.25,0,0,Buy,119743,29935.75,156886246,14.45086705,0.018,,Retail Trade
WGN,WAGNERS HOLDING COMPANY LIMITED,0.87,4.19161677,0.035,Sell,109695,95434.65,156661583,20.9273183,0.0407,,Non-Energy Minerals
BKY,BERKELEY ENERGIA LIMITED,0.34,-2.85714286,-0.01,Sell,152690,51914.6,156028850,2.39890336,0.1459,,Non-Energy Minerals
LM8,LUNNON METALS LIMITED,0.88,-1.12359551,-0.01,Sell,40974,36057.12,155287000,,-0.0401,,Non-Energy Minerals
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,0.31,0,0,Sell,1166398,361583.38,154833573,,-0.0848,,Non-Energy Minerals
EBR,EBR SYSTEMS INC.,0.515,-8.03571429,-0.045,Strong Sell,61086,31459.29,154347000,,-0.1996,,Health Technology
SFX,SHEFFIELD RESOURCES LIMITED,0.44,-1.12359551,-0.005,Strong Sell,82075,36113,154231459,5.66157761,0.0791,,Non-Energy Minerals
ORR,ORECORP LIMITED,0.375,-2.5974026,-0.01,Strong Sell,123817,46431.375,153614056,,-0.047,,Non-Energy Minerals
MCA,MURRAY COD AUSTRALIA LIMITED,0.19,-5,-0.01,Sell,182591,34692.29,153050674,,-0.0126,,Process Industries
MTO,MOTORCYCLE HOLDINGS LIMITED,2.5,0.80645161,0.02,Buy,18833,47082.5,153032644,6.63456394,0.3746,700,Consumer Durables
FEX,FENIX RESOURCES LTD,0.26,-7.14285714,-0.02,Strong Sell,10023000,2605980,152939901,3.10077519,0.1004,,Non-Energy Minerals
AND,ANSARADA GROUP LIMITED,1.6,-6.43274854,-0.11,Strong Sell,71334,114134.4,152763830,,-0.0968,200,Technology Services
IMA,IMAGE RESOURCES NL,0.15,5.63380282,0.008,Neutral,145870,21880.5,152655071,8.875,0.0167,,Non-Energy Minerals
EWC,ENERGY WORLD CORPORATION LTD,0.056,-3.44827586,-0.002,Neutral,646982,36230.992,151271812,6.44444444,0.009,,Utilities
SSG,SHAVER SHOP GROUP LIMITED,1.17,1.73913043,0.02,Buy,284508,332874.36,150664368,8.91472868,0.1335,788,Retail Trade
FLC,FLUENCE CORPORATION LIMITED,0.23,-4.16666667,-0.01,Sell,107707,24772.61,149627440,,-0.0227,,Process Industries
ATA,ATTURRA LIMITED,0.8,6.66666667,0.05,Strong Buy,15111,12088.8,149410000,,,,Commercial Services
GOW,GOWING BROS LIMITED,2.85,1.78571429,0.05,Buy,5200,14820,149271000,11.99143469,0.2335,,Miscellaneous
3DP,POINTERRA LIMITED,0.225,2.27272727,0.005,Neutral,43652,9821.7,149117366,,-0.0046,,Process Industries
REX,REGIONAL EXPRESS HOLDINGS LIMITED,1.345,-0.37037037,-0.005,Neutral,24877,33459.565,148503206,,-0.415,,Transportation
GCY,GASCOYNE RESOURCES LIMITED,0.335,-2.89855072,-0.01,Neutral,377647,126511.745,146982160,,-0.3919,,Non-Energy Minerals
EXR,ELIXIR ENERGY LIMITED,0.155,-3.125,-0.005,Buy,369470,57267.85,145989967,,-0.0015,,Energy Minerals
BYE,BYRON ENERGY LIMITED,0.135,-3.57142857,-0.005,Strong Sell,159924,21589.74,145988350,8.97435897,0.0156,,Energy Minerals
RCE,RECCE PHARMACEUTICALS LTD,0.8,-2.43902439,-0.02,Sell,26152,20921.6,145975839,,-0.0713,,Health Technology
TNT,TESSERENT LIMITED,0.115,0,0,Sell,782429,89979.335,145947595,,-0.0072,,Technology Services
TNG,TNG LIMITED,0.11,4.76190476,0.005,Buy,339537,37349.07,145783908,,-0.0035,,Non-Energy Minerals
A2B,A2B AUSTRALIA LIMITED,1.2,0.41841004,0.005,Buy,7862,9434.4,144870657,,-0.2332,,Transportation
AEE,AURA ENERGY LIMITED,0.27,-5.26315789,-0.015,Buy,642355,173435.85,144207919,,-0.0047,,Non-Energy Minerals
1MC,MORELLA CORPORATION LIMITED,0.025,0,0,Neutral,9476863,236921.575,144141152,2.08333333,0.012,,Non-Energy Minerals
JRL,JINDALEE RESOURCES LIMITED,2.63,4.78087649,0.12,Sell,2578,6780.14,144021198,241.34615385,0.0117,,Non-Energy Minerals
PCG,PENGANA CAPITAL GROUP LIMITED,1.73,1.76470588,0.03,Sell,11793,20401.89,143600952,8.29268293,0.2229,,Finance
EGH,EUREKA GROUP HOLDINGS LIMITED,0.605,-0.81967213,-0.005,Buy,90451,54722.855,143497842,17.57925072,0.0348,,Finance
CYC,CYCLOPHARM LIMITED,1.49,-2.61437908,-0.04,Buy,20228,30139.72,142863467,,-0.0397,53,Health Technology
NRZ,NEURIZER LTD,0.14,3.7037037,0.005,Sell,625132,87518.48,142015424,,-0.0242,,Energy Minerals
FWD,FLEETWOOD LIMITED,1.46,-2.99003322,-0.045,Strong Sell,22570,32952.2,141898287,,-0.5017,,Consumer Durables
EOL,ENERGY ONE LIMITED,5.1,-0.97087379,-0.05,Strong Sell,1329,6777.9,141805625,38.75094056,0.135,,Technology Services
DRX,DIATREME RESOURCES LIMITED,0.038,0,0,Sell,4708927,178939.226,141730848,,-0.0008,,Non-Energy Minerals
BKT,BLACK ROCK MINING LIMITED,0.14,-3.44827586,-0.005,Strong Sell,2529704,354158.56,141711282,,-0.0041,,Non-Energy Minerals
WAT,WATERCO LIMITED,4,0,0,Buy,265,1060,141547760,12.23990208,0.3268,,Process Industries
CCR,CREDIT CLEAR LIMITED,0.385,0,0,Strong Sell,76425,29423.625,141263520,,-0.046,,Commercial Services
ABY,ADORE BEAUTY GROUP LIMITED,1.545,3,0.045,Sell,32001,49441.545,141186745,59.76095618,0.0253,,Retail Trade
QIP,QANTM INTELLECTUAL PROPERTY LIMITED,1.03,0.48780488,0.005,Buy,63043,64934.29,140936089,19.37618147,0.0532,382,Commercial Services
CAA,CAPRAL LIMITED,7.7,-2.65486726,-0.21,Strong Sell,12394,95433.8,140539111,2.88465045,2.8521,1000,Non-Energy Minerals
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,1.715,-0.86705202,-0.015,Sell,101873,174712.195,140442392,,-0.1713,,Health Technology
DEV,DEVEX RESOURCES LIMITED,0.385,-1.28205128,-0.005,Buy,561699,216254.115,140225133,,-0.0323,,Non-Energy Minerals
MGV,MUSGRAVE MINERALS LIMITED,0.26,0,0,Sell,277913,72257.38,139664952,,-0.0016,,Non-Energy Minerals
IOD,IODM LIMITED,0.24,-7.69230769,-0.02,Sell,206020,49444.8,139627790,,-0.0042,,Non-Energy Minerals
RKN,RECKON LIMITED,1.215,-0.97799511,-0.012,Sell,1397,1697.355,139037943,14.55516014,0.0899,,Technology Services
SLA,SILK LASER AUSTRALIA LIMITED,2.55,-2.29885057,-0.06,Sell,22907,58412.85,138646281,21.67774086,0.121,,Health Services
LMG,LATROBE MAGNESIUM LIMITED,0.085,-1.1627907,-0.001,Sell,411193,34951.405,138512358,,-0.0015,,Non-Energy Minerals
ANO,ADVANCE ZINCTEK LIMITED,2.4,6.66666667,0.15,Neutral,554,1329.6,137975123,63.20224719,0.0361,,Process Industries
AHX,APIAM ANIMAL HEALTH LIMITED,0.77,-2.53164557,-0.02,Sell,134383,103474.91,137817334,23.65269461,0.034,,Process Industries
DSK,DUSK GROUP LIMITED,2.41,9.04977376,0.2,Strong Buy,232892,561269.72,137611982,7.03149857,0.3236,,Retail Trade
EPY,EARLYPAY LTD,0.475,0,0,Sell,43371,20601.225,136387287,10.19313305,0.047,,Finance
ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,0.525,-0.94339623,-0.005,Buy,103685,54434.625,135227743,8.74587459,0.0632,,Finance
ARA,ARIADNE AUSTRALIA LIMITED,0.685,-0.72463768,-0.005,Sell,4,2.74,134426024,,-0.0336,11,Finance
EP1,E&P FINANCIAL GROUP LIMITED,0.59,0.85470085,0.005,Buy,157,92.63,134186753.00000001,21.82835821,0.0279,,Finance
PPK,PPK GROUP LIMITED,1.505,0.33333333,0.005,Sell,255884,385105.42,133252396,73.52941176,0.0204,,Producer Manufacturing
DSE,DROPSUITE LIMITED,0.18,-7.69230769,-0.015,Strong Sell,378272,68088.96,132964262.99999999,390,0.0005,,Non-Energy Minerals
G6M,GROUP 6 METALS LIMITED,0.212,0.95238095,0.002,Sell,9280,1967.36,132458483,,-0.0245,,Non-Energy Minerals
IPX,IPERIONX LIMITED,0.895,-4.78723404,-0.045,Sell,174384,156073.68,132164449.99999999,,,,Non-Energy Minerals
GSS,GENETIC SIGNATURES LIMITED,0.95,3.26086957,0.03,Sell,144064,136860.8,131915123.99999999,44.66019417,0.0215,,Commercial Services
EGN,ENGENCO LIMITED,0.415,-3.48837209,-0.015,Strong Sell,86984,36098.36,130930788,23.88888889,0.018,,Industrial Services
SZL,SEZZLE INC.,0.615,-3.90625,-0.025,Sell,419501,257993.115,130846460.00000001,,-0.5919,,Technology Services
FSA,FSA GROUP LIMITED,1.105,3.75586854,0.04,Sell,2283,2522.715,130288723,7.76239067,0.1372,104,Finance
PGL,PROSPA GROUP LIMITED.,0.795,0.63291139,0.005,Buy,905,719.475,128846838.99999999,19.17475728,0.0412,,Finance
CYL,CATALYST METALS LIMITED,1.3,-0.38314176,-0.005,Neutral,13574,17646.2,128485277,23.38709677,0.0558,,Non-Energy Minerals
LCY,LEGACY IRON ORE LIMITED,0.021,5,0.001,Buy,1127463,23676.723,128136520.99999999,,-0.0002,,Non-Energy Minerals
CAE,CANNINDAH RESOURCES LIMITED,0.235,0,0,Sell,76973,18088.655,128068918,16.54929577,0.0142,,Non-Energy Minerals
X64,TEN SIXTY FOUR LIMITED,0.545,-2.67857143,-0.015,Strong Sell,333952,182003.84,127655528,53.84615385,0.0154,,Non-Energy Minerals
ACW,ACTINOGEN MEDICAL LIMITED,0.07,-1.4084507,-0.001,Sell,783061,54814.27,127508473,,-0.0053,,Health Technology
BWX,BWX LIMITED,0.63,1.61290323,0.01,Sell,399664,251788.32,125993876,7.66378245,0.0826,298,Consumer Non-Durables
PRL,PROVINCE RESOURCES LTD,0.105,0,0,Sell,961346,100941.33,124056778,,-0.023,,Process Industries
CNB,CARNABY RESOURCES LIMITED,0.825,-1.78571429,-0.015,Sell,296997,245022.525,121431150,,-0.0272,,Non-Energy Minerals
EMV,EMVISION MEDICAL DEVICES LTD,1.495,-3.5483871,-0.055,Sell,30947,46265.765,120330714,,-0.0804,,Health Technology
HAV,HAVILAH RESOURCES LIMITED,0.37,-2.63157895,-0.01,Buy,689669,255177.53,120322903,,-0.0088,,Non-Energy Minerals
CII,CI RESOURCES LIMITED,1.05,0.96153846,0.01,Sell,14582,15311.1,120204340,15.85365854,0.0656,,Non-Energy Minerals
GLL,GALILEE ENERGY LIMITED,0.35,-1.4084507,-0.005,Buy,36467,12763.45,120180811,,-0.0513,,Energy Minerals
DTZ,DOTZ NANO LIMITED,0.27,-8.47457627,-0.025,Strong Sell,200536,54144.72,120126876,,-0.0196,,Process Industries
AJL,AJ LUCAS GROUP LIMITED,0.098,-2,-0.002,Buy,3970675,389126.15,119628664,,-0.0095,356,Industrial Services
STM,SUNSTONE METALS LTD,0.045,-2.17391304,-0.001,Sell,1438848,64748.16,119436541,32.85714286,0.0015,15,Non-Energy Minerals
FBR,FBR LTD,0.05,19.04761905,0.008,Strong Buy,17089990,854499.5,119065938,,-0.0086,,Producer Manufacturing
MME,MONEYME LIMITED,0.465,-7,-0.035,Strong Sell,1461298,679503.57,118923607,,-0.264,,Technology Services
